Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.7,4,13
Singly Linked List,max,FAIL,22,-,FAIL,91
Singly Linked List,min,FAIL,22,-,FAIL,99
Singly Linked List,singleton,FAIL,12,-,FAIL,18
Singly Linked List,append,FAIL,17,-,FAIL,159
Singly Linked List,delete,FAIL,16,-,FAIL,93
Singly Linked List,deallocate two,25,4,1.7,9,64
Singly Linked List,union,FAIL,14,-,FAIL,133
Singly Linked List,intersection,FAIL,16,-,FAIL,119
Singly Linked List,difference,FAIL,14,-,FAIL,139
Sorted list,sort,FAIL,9,-,FAIL,95
Sorted list,reverse,FAIL,9,-,FAIL,121
Sorted list,merge,FAIL,23,-,FAIL,106
Doubly Linked List,singleton,FAIL,13,-,FAIL,18
Doubly Linked List,copy,FAIL,15,-,FAIL,138
Doubly Linked List,single to double,FAIL,11,-,FAIL,135
List of Lists,flatten,FAIL,12,-,FAIL,148
Binary Tree,deallocate,16,2,1.0,6,25
Binary Tree,deallocate two,FAIL,4,-,FAIL,223
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,132
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,146
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,136
BST,rotate left,FAIL,74,-,FAIL,117
BST,rotate right,FAIL,74,-,FAIL,112
BST,find max,FAIL,25,-,FAIL,65
BST,delete root,FAIL,41,-,FAIL,101
BST,from list,FAIL,15,-,FAIL,74
BST,to sorted list,FAIL,15,-,FAIL,106
Rose Tree,deallocate,24,2,2.9,9,130
Rose Tree,flatten,FAIL,10,-,FAIL,135
