Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,12
Singly Linked List,max,FAIL,22,-,FAIL,621
Singly Linked List,min,FAIL,22,-,FAIL,596
Singly Linked List,singleton,11,12,0.3,4,34
Singly Linked List,append,19,17,0.7,6,112
Singly Linked List,delete,44,16,1.7,13,317
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,union,FAIL,14,-,FAIL,828
Singly Linked List,intersection,FAIL,16,-,FAIL,1027
Singly Linked List,difference,FAIL,14,-,FAIL,817
Sorted list,sort,43,9,1.7,13,361
Sorted list,reverse,36,9,1.0,11,192
Sorted list,merge,FAIL,23,-,FAIL,701
Doubly Linked List,singleton,14,13,0.4,5,38
Doubly Linked List,copy,FAIL,15,-,FAIL,1204
Doubly Linked List,single to double,66,11,1.2,23,223
List of Lists,flatten,53,12,1.2,17,227
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.8,16,213
Binary Tree,flatten w/acc,66,17,1.0,22,211
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,920
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,1054
BST,rotate left,FAIL,74,-,FAIL,175
BST,rotate right,FAIL,74,-,FAIL,175
BST,find max,FAIL,25,-,FAIL,688
BST,delete root,FAIL,41,-,FAIL,544
BST,from list,FAIL,15,-,FAIL,393
BST,to sorted list,FAIL,15,-,FAIL,759
Rose Tree,deallocate,24,2,0.5,9,50
Rose Tree,flatten,80,10,1.4,25,291
