Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,12
Singly Linked List,max,FAIL,22,-,FAIL,625
Singly Linked List,min,FAIL,22,-,FAIL,622
Singly Linked List,singleton,11,12,0.3,4,34
Singly Linked List,append,19,17,0.7,6,112
Singly Linked List,delete,41,16,1.4,12,269
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,union,FAIL,14,-,FAIL,834
Singly Linked List,intersection,FAIL,16,-,FAIL,1101
Singly Linked List,difference,FAIL,14,-,FAIL,773
Sorted list,sort,44,9,2.2,13,527
Sorted list,reverse,36,9,1.1,11,197
Sorted list,merge,FAIL,23,-,FAIL,690
Doubly Linked List,singleton,14,13,0.4,5,38
Doubly Linked List,copy,FAIL,15,-,FAIL,1214
Doubly Linked List,single to double,66,11,1.1,23,225
List of Lists,flatten,53,12,1.1,17,220
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,0.8,16,213
Binary Tree,flatten w/acc,63,17,1.0,21,215
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,970
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,1101
BST,rotate left,FAIL,74,-,FAIL,616
BST,rotate right,FAIL,74,-,FAIL,588
BST,find max,FAIL,25,-,FAIL,694
BST,delete root,FAIL,41,-,FAIL,532
BST,from list,FAIL,15,-,FAIL,707
BST,to sorted list,FAIL,15,-,FAIL,680
Rose Tree,deallocate,24,2,0.5,9,52
Rose Tree,flatten,FAIL,10,-,FAIL,617
