Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.6,4,12
Singly Linked List,max,FAIL,22,-,FAIL,80
Singly Linked List,min,FAIL,22,-,FAIL,76
Singly Linked List,singleton,11,12,1.4,4,33
Singly Linked List,append,FAIL,17,-,FAIL,98
Singly Linked List,delete,FAIL,16,-,FAIL,95
Singly Linked List,deallocate two,25,4,1.8,9,66
Singly Linked List,union,FAIL,14,-,FAIL,107
Singly Linked List,intersection,FAIL,16,-,FAIL,112
Singly Linked List,difference,FAIL,14,-,FAIL,109
Sorted list,sort,FAIL,9,-,FAIL,80
Sorted list,reverse,FAIL,9,-,FAIL,84
Sorted list,merge,FAIL,23,-,FAIL,86
Doubly Linked List,singleton,14,13,1.5,5,37
Doubly Linked List,copy,FAIL,15,-,FAIL,128
Doubly Linked List,single to double,FAIL,11,-,FAIL,100
List of Lists,flatten,FAIL,12,-,FAIL,128
Binary Tree,deallocate,16,2,1.1,6,26
Binary Tree,deallocate two,FAIL,4,-,FAIL,90
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,120
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,112
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,121
BST,rotate left,FAIL,74,-,FAIL,42
BST,rotate right,FAIL,74,-,FAIL,39
BST,find max,FAIL,25,-,FAIL,68
BST,delete root,FAIL,41,-,FAIL,44
BST,from list,FAIL,15,-,FAIL,63
BST,to sorted list,FAIL,15,-,FAIL,45
Rose Tree,deallocate,24,2,1.9,9,47
Rose Tree,flatten,FAIL,10,-,FAIL,95
