Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,12,12,0.2,4,13
Singly Linked List,max,FAIL,22,-,FAIL,724
Singly Linked List,min,FAIL,22,-,FAIL,724
Singly Linked List,singleton,FAIL,12,-,FAIL,20
Singly Linked List,append,19,17,0.8,6,143
Singly Linked List,delete,38,16,1.1,11,181
Singly Linked List,deallocate two,25,4,0.5,9,66
Singly Linked List,union,FAIL,14,-,FAIL,966
Singly Linked List,intersection,FAIL,16,-,FAIL,1162
Singly Linked List,difference,FAIL,14,-,FAIL,1015
Sorted list,sort,FAIL,9,-,FAIL,791
Sorted list,reverse,36,9,1.2,11,210
Sorted list,merge,FAIL,23,-,FAIL,813
Doubly Linked List,singleton,FAIL,13,-,FAIL,20
Doubly Linked List,copy,FAIL,15,-,FAIL,1139
Doubly Linked List,single to double,FAIL,11,-,FAIL,306
List of Lists,flatten,56,12,1.5,18,340
Binary Tree,deallocate,16,2,0.3,6,26
Binary Tree,deallocate two,47,4,1.2,16,274
Binary Tree,flatten w/acc,66,17,1.2,22,270
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,1233
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,1046
BST,rotate left,FAIL,74,-,FAIL,672
BST,rotate right,FAIL,74,-,FAIL,698
BST,find max,FAIL,25,-,FAIL,686
BST,delete root,FAIL,41,-,FAIL,648
BST,from list,FAIL,15,-,FAIL,740
BST,to sorted list,FAIL,15,-,FAIL,671
Rose Tree,deallocate,30,2,0.5,11,66
Rose Tree,flatten,80,10,1.9,25,435
