Group, Name,Code(mut),Spec(mut),Time(mut),Backtrackings(mut),Rules(mut)
Integers,swap two,FAIL,12,-,FAIL,81
Singly Linked List,max,FAIL,22,-,FAIL,181
Singly Linked List,min,FAIL,22,-,FAIL,195
Singly Linked List,singleton,FAIL,12,-,FAIL,181
Singly Linked List,append,FAIL,17,-,FAIL,200
Singly Linked List,delete,FAIL,16,-,FAIL,174
Singly Linked List,deallocate two,FAIL,4,-,FAIL,147
Singly Linked List,union,FAIL,14,-,FAIL,165
Singly Linked List,intersection,FAIL,16,-,FAIL,235
Singly Linked List,difference,FAIL,14,-,FAIL,162
Sorted list,sort,FAIL,9,-,FAIL,143
Sorted list,reverse,FAIL,9,-,FAIL,140
Sorted list,merge,FAIL,23,-,FAIL,139
Doubly Linked List,singleton,FAIL,13,-,FAIL,183
Doubly Linked List,copy,FAIL,15,-,FAIL,262
Doubly Linked List,single to double,FAIL,11,-,FAIL,183
List of Lists,flatten,FAIL,12,-,FAIL,147
Binary Tree,deallocate,16,2,2.8,6,123
Binary Tree,deallocate two,FAIL,4,-,FAIL,137
Binary Tree,flatten w/acc,FAIL,17,-,FAIL,148
Binary Tree,flatten to dll in place,FAIL,5,-,FAIL,144
Binary Tree,flatten to dll w/null,FAIL,5,-,FAIL,137
BST,rotate left,FAIL,74,-,FAIL,113
BST,rotate right,FAIL,74,-,FAIL,117
BST,find max,FAIL,25,-,FAIL,170
BST,delete root,FAIL,41,-,FAIL,93
BST,from list,FAIL,15,-,FAIL,175
BST,to sorted list,FAIL,15,-,FAIL,140
Rose Tree,deallocate,FAIL,2,-,FAIL,142
Rose Tree,flatten,FAIL,10,-,FAIL,170
